Origin,,Long.,Lat.,,,Long.,Lat.,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
GB,United Kingdom,-2.844126637,54.04916187,GE,Georgia,43.49167195,42.20428559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,-2.844126637,54.04916187,QA,Qatar,51.22490031,25.31679348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,5,4,3,6,3,7,7,12,23,20,3,2
GB,United Kingdom,-2.844126637,54.04916187,DE,Germany,10.36424905,51.11252298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,3,4,2,1,2,1,0,2,5,4,2,5,3,1,5,1,6,7,7,13,8,6,17,17,13,12,15,18,11,17,17,25,44,58,58,53,47,54,33,27
GB,United Kingdom,-2.844126637,54.04916187,LB,Lebanon,35.92644505,33.95310376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,2,1,2,0,0,0,0,1,1,3,0,0,1
GB,United Kingdom,-2.844126637,54.04916187,GR,Greece,22.85848576,39.13809589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,3,3,2,2,2,1,1,0,2,3,3,3,4,2,3,2,2,6,5,13,8,14,8,10,11,13,13,17,15,18,6,10,10,16,3,1
GB,United Kingdom,-2.844126637,54.04916187,BA,Bosnia and Herzegovina,17.75985265,44.13937988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
GB,United Kingdom,-2.844126637,54.04916187,CN,China,103.8114776,36.5695893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,2,0,1,3,3,6,4,3,7,6,4,6,7,6,7,12,11,13,17,19,30,35,39,40,37,19,11
GB,United Kingdom,-2.844126637,54.04916187,BR,Brazil,-53.1014093,-10.80323784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,2,0,1,1,0,3,2,1,2,4,1,1,8,3,8,10,12,10,9,3,6,8,10,2,4,4,7,3,7,16,11,9,12,7,10,5,5
GB,United Kingdom,-2.844126637,54.04916187,ES,Spain,-3.602339941,40.26889636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,1,0,1,5,1,4,5,1,4,5,4,7,8,8,12,11,12,17,17,20,29,28,32,31,36,48,37,47,32,41,29,17
GB,United Kingdom,-2.844126637,54.04916187,SA,Saudi Arabia,44.59516379,24.03587979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,2,3,0,1,0,1,1,2,3,3,3,2,1,0,3,4,4,5,5,14,19,27,30,23,22,10,6
GB,United Kingdom,-2.844126637,54.04916187,NG,Nigeria,8.115104063,9.588115475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,1,1,3,0,0,0,2,0,0,0,0,0,1,3,0,1,1,1,0,0,1,0,1,1,2,2,2,3,7,5,6,13,6,7,0
GB,United Kingdom,-2.844126637,54.04916187,PR,Puerto Rico,-66.65506586,18.22757121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
GB,United Kingdom,-2.844126637,54.04916187,LK,Sri Lanka,80.67817838,7.650325121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,3,1,0,0,0,1,3,1,1,3,2,0,3,2,1,2,6,1,2,1,1
GB,United Kingdom,-2.844126637,54.04916187,CH,Switzerland,8.224403733,46.81265419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,1,0,1,0,1,1,1,1,0,4,1,3,5,1,4,2,0,6,3,2,4,2,3,5,7,4,6,4,6,8,10,4,6,5,17,11,16,20,21,23,22,21,11,12
GB,United Kingdom,-2.844126637,54.04916187,JP,Japan,137.9926591,37.53214345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,2,2,2,1,2,3,3,5,4,3,2,4,8,4,3,9,10,4,7,9,9,12,17,9,7
GB,United Kingdom,-2.844126637,54.04916187,IN,India,79.63159982,22.89433713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,1,2,2,1,2,1,0,1,2,2,1,6,1,2,2,1,4,4,6,7,13,25,18,19,17,13,11,3
GB,United Kingdom,-2.844126637,54.04916187,NL,Netherlands,5.639291909,52.2589188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,1,1,1,1,0,2,3,0,3,1,3,2,5,2,2,4,3,4,5,6,6,3,5,10,6,6,16,16,19,9,16,16,22,26,13,13
GB,United Kingdom,-2.844126637,54.04916187,IE,Ireland,-8.08566779,53.21167913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,2,0,0,3,1,2,1,1,1,2,1,2,0,2,0,2,1,3,1,9,4,2,8,7,6,6,13,17,12,13,21,18,12,23,16,26,15,19,26,28,30,12,13
GB,United Kingdom,-2.844126637,54.04916187,SE,Sweden,16.70959093,62.82390761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,2,0,2,3,1,2,2,1,3,5,8,7,5,4,4,6,4,2,4,18,17,18,27,39,29,28,11,14
GB,United Kingdom,-2.844126637,54.04916187,NO,Norway,13.98201067,64.27931016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,1,1,1,5,2,3,1,1,1,5,0,4,4,4,6,1,6,5,6,10,6,3,5
GB,United Kingdom,-2.844126637,54.04916187,NZ,New Zealand,172.2191286,-41.74596894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,2,0,2,1,2,0,2,3,3,1,1,2,6,4,5,7,6,3,6,6,7,6,11,9,13,13,5,6,9,12,12,10,18,12,16,14,5,6
GB,United Kingdom,-2.844126637,54.04916187,CA,Canada,-98.45003986,61.22536911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,2,0,3,6,0,2,2,3,3,1,2,1,2,6,3,3,5,2,1,5,3,2,5,4,7,5,5,7,3,3,2,1,9,4,10,13,6,12,17,17,13,12,17,17,27,26,17,29,26,12,7
